pres_pure,pres_alt,height
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
92578.0000,995.5745,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100124.0000,344.5684,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
100123.0000,344.6529,0.0000
