onboard_time,data
266428,0
486631614,0
486651632,0
486671621,0
486691720,0
486787670,0
486787815,0
486787961,0
486788106,0
486791812,0
486808202,0
486828214,0
486848203,0
486868202,0
486888293,0
486908202,0
486928678,0
486948213,0
486968203,0
486988272,0
487011849,0
487031839,0
487051839,0
487071848,0
487091910,0
487111838,0
487131848,0
487151838,0
487171839,0
487191929,0
487211838,0
487231839,0
487251850,0
487271837,0
487291909,0
487311694,0
487331685,0
487351686,0
487371697,0
487391758,0
487408322,0
487428332,0
487448320,0
487471638,0
487488411,0
487508321,0
487528474,0
487548486,0
487568475,0
487588547,0
487611844,0
487631833,0
487651833,0
487671851,0
487695860,0
487711834,0
487731849,0
487751833,0
487771834,0
487791927,0
487825692,0
487825842,0
487843603,0
487863585,0
487883657,0
487911538,0
487931522,0
487951521,0
487971538,0
487991593,0
488008807,0
488028834,0
488048807,0
488068807,0
488088900,0
488108806,0
488128807,0
488148816,0
488168806,0
488188878,0
488211846,0
488235376,0
488251831,0
488271849,0
488291902,0
488311832,0
488331848,0
488351832,0
488371831,0
488391925,0
488411832,0
488431829,0
488452256,0
488471830,0
488491901,0
488511836,0
488531827,0
488551826,0
488571839,0
488591898,0
488609208,0
488629219,0
488649208,0
488669207,0
488689298,0
488709208,0
488729210,0
488749220,0
488769210,0
488789281,0
488811839,0
488831827,0
488851827,0
488871837,0
488920789,0
488920936,0
488931788,0
488951778,0
488971779,0
488995902,0
489011779,0
489031826,0
489051836,0
489071827,0
489091898,0
489111837,0
489131827,0
489151826,0
489171838,0
489191896,0
489208707,0
489228719,0
489248708,0
489268708,0
489288800,0
489308707,0
489329511,0
489349528,0
489369510,0
489389581,0
489411941,0
489431925,0
489451926,0
489471942,0
489491997,0
489511925,0
489531936,0
489551926,0
489571926,0
489592016,0
489611926,0
489631822,0
489651835,0
489671822,0
489691894,0
489711832,0
489731820,0
489754243,0
489771831,0
489791892,0
489809812,0
489829821,0
489849812,0
489869812,0
489889906,0
489909812,0
489929811,0
489949829,0
490004002,0
490004149,0
490011829,0
490031819,0
490051821,0
490071829,0
490091891,0
490111819,0
490131832,0
490151820,0
490171820,0
490191914,0
490211822,0
490231818,0
490251835,0
490271818,0
490291890,0
490311838,0
490331819,0
490351819,0
490371839,0
490391892,0
490410095,0
490430106,0
490450096,0
490470098,0
490490175,0
490512388,0
490530096,0
490550107,0
490570095,0
490590166,0
490611930,0
490631919,0
490651919,0
490671928,0
490691991,0
490711918,0
490732156,0
490751918,0
490771919,0
490792008,0
490811918,0
490831915,0
490851929,0
490871916,0
490891987,0
490911925,0
490931915,0
490951914,0
490971925,0
490991984,0
491010460,0
491030472,0
491050458,0
491089932,1
491090596,1
491110458,1
491130456,1
491150466,1
491170456,1
491190527,1
491211822,1
491231812,1
491251813,1
491274160,1
491291884,1
491311812,1
491331824,1
491351813,1
491371813,1
491391895,1
491411813,1
491431814,1
491451827,1
491471814,1
491492302,1
491511824,1
491531813,1
491551815,1
491571825,1
491591883,1
491610423,1
491630437,1
491650423,1
491670424,1
491690505,1
491710424,1
491730599,1
491750613,1
491770598,1
491790669,1
491816226,1
491831912,1
491851912,1
491871925,1
491891982,1
491911914,1
491931928,1
491951914,1
491971914,1
491991995,1
492011914,1
492037204,1
492051921,1
492071910,1
492091982,1
492111924,1
492131910,1
492175456,1
492175939,1
492191981,1
492210993,1
492231007,1
492250993,1
492270993,1
492291083,1
492310994,1
492330989,1
492351002,1
492370989,1
492391059,1
492411916,1
492431906,1
492451906,1
492471915,1
492491976,1
492511909,1
492531919,1
492551908,1
492576229,1
492592003,1
492611908,1
492631789,1
492651800,1
492671789,1
492691861,1
492711805,1
492731796,1
492751796,1
492771806,1
492795337,1
492811056,1
492831067,1
492851056,1
492871056,1
492891146,1
492911057,1
492931051,1
492951064,1
492971051,1
492991122,1
493011605,1
493031592,1
493051591,1
493071605,1
493091661,1
493111906,1
493131920,1
493151907,1
493171907,1
493191996,1
493211905,1
493261842,1
493261989,1
493271895,1
493291966,1
493311916,1
493336211,1
493351903,1
493371916,1
493391973,1
493411617,1
493431630,1
493451616,1
493471616,1
493491698,1
493511617,1
493531609,1
493554021,1
493571609,1
493591680,1
493611915,1
493631901,1
493651902,1
493671915,1
493691973,1
493711901,1
493731912,1
493751900,1
493771901,1
493791991,1
493811902,1
493831888,1
493851901,1
493871888,1
493891957,1
493911910,1
493931899,1
493951900,1
493971911,1
493991971,1
494011730,1
494031743,1
494051730,1
494071729,1
494097253,1
494111729,1
494131720,1
494151730,1
494171721,1
494191791,1
494212010,1
494231996,1
494251997,1
494272010,1
494292067,1
494322464,1
494322610,1
494326436,1
494346437,1
494366528,1
494386437,1
494431884,1
494451898,1
494471884,1
494491955,1
494511908,1
494531896,1
494551897,1
494571907,1
494591968,1
494611895,1
494631906,1
494651896,1
494671896,1
494691977,1
494711896,1
494731883,1
494751897,1
494771884,1
494791955,1
494811908,1
494831894,1
494858997,1
494871908,1
494891965,1
494911895,1
494931905,1
494951895,1
494971893,1
494991989,1
495011894,1
495031879,1
495051895,1
495073807,1
495091951,1
495111910,1
495131893,1
495151893,1
495171911,1
495191964,1
495211992,1
495232008,1
495251993,1
495271993,1
495292352,2
495311991,2
495331979,2
495351995,2
495371978,2
495392050,2
495423187,2
495423333,2
495441879,2
495461892,2
495481950,2
495511892,2
495531902,2
495551893,2
495571893,2
495591985,2
495613473,2
495629051,2
495649070,2
495669052,2
495689121,2
495711907,2
495731890,2
495751890,2
495771908,2
495791960,2
495811889,2
495834057,2
495851889,2
495871890,2
495891982,2
495911887,2
495931875,2
495951892,2
495971874,2
495991945,2
496011901,2
496031885,2
496051885,2
496071895,2
496091957,2
496111886,2
496131896,2
496151886,2
496171886,2
496191979,2
496211886,2
496231968,2
496251985,2
496271968,2
496292039,2
496312003,2
496331986,2
496351986,2
496378488,2
